Date Time,No of cycles,Row0-Sensor1,Row0-Sensor2,Row1-Sensor1,Row1-Sensor2
2023-01-03 17:56:00.865114,1,3336,8593,5962,895
2023-01-03 18:03:40.624068,2,3327,8612,5962,885
2023-01-03 18:11:20.280415,3,3326,8565,5952,885
2023-01-03 18:19:00.037901,4,3327,8593,5961,884
2023-01-03 18:26:39.965639,5,3327,8565,5961,885
2023-01-03 18:35:32.547850,1,3637,8913,6272,1196
2023-01-03 18:43:12.454488,2,3637,8922,6272,1196
2023-01-03 18:50:52.683761,3,3637,8885,6263,1195
2023-01-03 18:58:32.862723,4,3637,8894,6272,1186
2023-01-03 19:06:13.010606,5,3637,8922,6271,1195
2023-01-03 19:15:06.129274,1,3645,8921,6271,1204
2023-01-03 19:22:45.881372,2,3637,8904,6281,1205
2023-01-03 19:30:25.858529,3,3637,8894,6272,1196
2023-01-03 19:38:06.115544,4,3637,8922,6272,1195
2023-01-03 19:45:46.082835,5,3637,8913,6272,1195
2023-01-03 19:54:39.335161,1,3637,8903,6272,1196
2023-01-03 20:02:19.531410,2,3637,8903,6263,1196
2023-01-03 20:09:59.718165,3,3628,8932,6271,1195
2023-01-03 20:17:40.174818,4,3627,8893,6262,1196
2023-01-03 20:25:20.464200,5,3627,8894,6262,1186
2023-01-03 20:34:13.667038,1,3637,8932,6272,1205
2023-01-03 20:41:53.926468,2,3636,8931,6272,1195
2023-01-03 20:49:33.707073,3,3627,8912,6263,1187
2023-01-03 20:57:13.703898,4,3628,8923,6262,1195
2023-01-03 21:04:53.770663,5,3637,8884,6262,1186
2023-01-03 21:13:47.131865,1,3637,8903,6281,1204
2023-01-03 21:21:27.318386,2,3636,8921,6272,1195
2023-01-03 21:29:07.404882,3,3637,8883,6272,1195
2023-01-03 21:36:47.242559,4,3637,8913,6272,1195
2023-01-03 21:44:27.486434,5,3637,8912,6272,1196
2023-01-03 21:53:20.687110,1,3637,8914,6281,1205
2023-01-03 22:01:00.722672,2,3646,8922,6272,1196
2023-01-03 22:08:40.911231,3,3646,8902,6272,1196
2023-01-03 22:16:20.829188,4,3637,8912,6272,1195
2023-01-03 22:24:00.967814,5,3636,8922,6272,1186
