Date Time,No of cycles,Row0-Sensor1,Row0-Sensor2,Row1-Sensor1,Row1-Sensor2
2023-01-05 18:27:40.036260,1,3314,8616,5970,916
2023-01-05 18:35:25.944568,1,3314,8595,5981,916
2023-01-05 18:43:12.103784,1,3323,8615,5961,915
2023-01-05 18:50:57.911863,1,3314,8606,5951,906
2023-01-05 18:58:43.479760,1,3313,8605,5961,906
2023-01-05 19:06:29.167800,1,3314,8596,5951,906
2023-01-05 19:14:14.667396,1,3314,8547,5961,906
2023-01-05 19:22:00.526245,1,3314,8605,5971,907
2023-01-05 19:29:46.584750,1,3304,8596,5961,906
2023-01-05 19:37:32.602779,1,3313,8594,5951,896
2023-01-05 19:45:18.761535,1,3304,8595,5951,896
2023-01-05 19:53:04.544886,1,3304,8566,5951,896
2023-01-05 20:00:50.798656,1,3304,8566,5952,897
2023-01-05 20:08:36.838963,1,3304,8586,5941,896
2023-01-05 20:16:22.746027,1,3305,8557,5942,897
2023-01-05 20:24:09.121916,1,3304,8556,5952,897
2023-01-05 20:31:55.098732,1,3294,8576,5942,887
2023-01-05 20:39:41.096188,1,3294,8625,5951,886
2023-01-05 20:47:27.043318,1,3295,8548,5951,897
2023-01-05 20:55:12.893883,1,3294,8605,5941,886
2023-01-05 21:02:58.833884,1,3295,8586,5952,897
2023-01-05 21:10:44.732415,1,3294,8527,5942,887
2023-01-05 21:18:31.000313,1,3285,8558,5932,887
2023-01-05 21:26:16.881270,1,3294,8547,5942,887
2023-01-05 21:34:02.785979,1,3285,8567,5941,896
2023-01-05 21:41:48.714443,1,3285,8597,5932,887
2023-01-05 21:49:34.563058,1,3285,8576,5932,877
2023-01-05 21:57:20.219614,1,3285,8557,5932,877
2023-01-05 22:05:05.956113,1,3275,8557,5931,876
2023-01-05 22:12:52.014000,1,3275,8576,5922,867
2023-01-05 22:20:37.861309,1,3275,8557,5932,867
2023-01-05 22:28:23.909401,1,3275,8547,5923,868
2023-01-05 22:36:09.958257,1,3265,8537,5923,868
2023-01-05 22:43:56.607079,1,3255,8547,5912,857
2023-01-05 22:51:42.726775,1,3255,8536,5912,857
2023-01-05 22:59:28.794293,1,3255,8557,5912,847
2023-01-05 23:07:14.615231,1,3255,8507,5903,847
2023-01-05 23:15:00.834042,1,3245,8527,5893,838
2023-01-05 23:22:46.932679,1,3245,8537,5892,837
2023-01-05 23:30:32.831250,1,3255,8517,5892,847
2023-01-05 23:38:18.769045,1,3245,8517,5903,847
2023-01-05 23:46:04.627186,1,3245,8546,5893,838
2023-01-05 23:53:50.694269,1,3236,8527,5884,838
2023-01-06 00:01:36.792060,1,3235,8497,5882,827
2023-01-06 00:09:22.469908,1,3236,8518,5893,838
2023-01-06 00:17:08.478521,1,3235,8507,5887,831
2023-01-06 00:24:54.497936,1,3225,8518,5873,828
2023-01-06 00:32:40.437529,1,3226,8527,5873,818
2023-01-06 00:40:26.114693,1,3225,8527,5883,828
2023-01-06 00:48:12.123739,1,3226,8527,5882,827
2023-01-06 00:55:57.863115,1,3226,8479,5873,817
2023-01-06 01:03:43.822150,1,3225,8497,5874,818
2023-01-06 01:11:29.590547,1,3216,8497,5873,818
2023-01-06 01:19:15.478586,1,3216,8497,5872,817
2023-01-06 01:27:01.461536,1,3225,8497,5863,818
2023-01-06 01:34:47.235052,1,3216,8517,5873,818
2023-01-06 01:42:33.280237,1,3216,8479,5873,818
2023-01-06 01:50:19.196464,1,3217,8518,5873,808
2023-01-06 01:58:04.954069,1,3216,8478,5864,809
2023-01-06 02:05:50.593740,1,3216,8498,5864,809
2023-01-06 02:13:36.602256,1,3216,8488,5863,808
2023-01-06 02:21:22.401680,1,3215,8497,5863,817
2023-01-06 02:29:08.267718,1,3216,8498,5853,808
2023-01-06 02:36:54.117192,1,3216,8489,5863,808
2023-01-06 02:44:39.995793,1,3206,8477,5866,811
2023-01-06 02:52:25.409872,1,3206,8467,5854,799
2023-01-06 03:00:11.221390,1,3206,8478,5844,799
2023-01-06 03:07:57.078962,1,3206,8507,5844,788
2023-01-06 03:15:42.953386,1,3197,8488,5843,798
2023-01-06 03:23:28.619977,1,3206,8527,5854,798
2023-01-06 03:31:14.207035,1,3196,8468,5843,798
2023-01-06 03:39:00.014668,1,3196,8479,5843,788
2023-01-06 03:46:45.975220,1,3206,8469,5844,779
2023-01-06 03:54:31.721871,1,3196,8458,5834,788
2023-01-06 04:02:17.710399,1,3196,8448,5853,788
2023-01-06 04:10:03.429515,1,3197,8478,5834,788
2023-01-06 04:17:49.394818,1,3196,8459,5844,788
