Date Time,No of cycles,Row0-Sensor1,Row0-Sensor2,Row1-Sensor1,Row1-Sensor2
59:11.8,1,3332,8648,5961,903
06:57.6,2,3333,8639,5961,893
14:43.0,3,3333,8620,5959,891
22:28.9,4,3322,8619,5951,883
30:14.6,5,3323,8629,5951,903
38:00.4,6,3323,8630,5960,893
45:46.2,7,3322,8609,5950,884
53:31.8,8,3323,8590,5951,892
01:17.9,9,3314,8651,5940,881
10:16.8,10,3333,8630,5950,882
18:02.6,11,3322,8600,5951,893
25:48.3,12,3322,8589,5961,903
33:35.0,13,3323,8630,5970,902
41:21.0,14,3323,8580,5951,883
49:06.9,15,3313,8611,5941,889
58:05.9,16,3333,8620,5971,903
05:52.7,17,3333,8590,5960,893
13:38.4,18,3322,8629,5950,892
21:23.9,19,3323,8610,5951,884
29:09.5,20,3314,8581,5941,882
38:08.5,1,3323,8610,5960,892
45:54.3,2,3333,8590,5951,883
53:40.4,3,3322,8629,5951,883
01:26.4,4,3324,8611,5941,891
10:25.4,5,3323,8650,5970,913
18:11.4,6,3322,8639,5950,893
25:57.5,7,3313,8619,5951,884
33:43.2,8,3313,8571,5931,862
42:41.9,9,3333,8620,5960,903
50:27.9,10,3323,8621,5941,873
59:26.9,11,3332,8609,5951,884
07:12.7,12,3322,8599,5950,892
14:58.5,13,3324,8622,5941,892
23:57.6,14,3332,8619,5961,893
31:43.4,15,3322,8629,5951,894
39:29.3,16,3322,8609,5951,893
47:15.3,17,3324,8622,5931,872
56:14.3,18,3333,8630,5951,883
04:00.1,19,3333,8639,5951,893
11:45.4,20,3322,8628,5950,902
19:31.8,1,3322,8599,5950,882
27:17.4,2,3314,8602,5941,872
36:16.6,3,3332,8630,5961,913
44:02.7,4,3324,8611,5941,882
53:01.5,5,3332,8619,5951,883
00:47.6,6,3323,8610,5970,912
08:33.3,7,3322,8650,5961,893
16:19.0,8,3323,8610,5961,904
24:04.9,9,3322,8619,5951,883
31:51.6,10,3322,8609,5950,892
39:37.3,11,3312,8569,5950,893
47:23.0,12,3313,8601,5941,882
56:21.9,13,3332,8619,5951,883
04:08.6,14,3333,8640,5951,893
11:54.1,15,3323,8630,5951,883
19:39.8,16,3322,8609,5971,913
27:25.5,17,3323,8609,5961,904
35:11.2,18,3322,8639,5970,903
42:57.0,19,3312,8600,5951,903
50:42.7,20,3313,8619,5949,901
58:28.7,1,3304,8611,5941,892
07:27.6,2,3333,8649,5981,923
15:13.4,3,3332,8649,5970,912
22:59.4,4,3333,8640,5951,893
30:45.2,5,3322,8648,5981,913
38:31.1,6,3323,8640,5941,882
47:30.0,7,3332,8650,5980,912
55:15.8,8,3333,8649,5970,913
03:01.3,9,3323,8611,5941,892
12:00.2,10,3333,8590,5960,892
19:45.7,11,3322,8639,5961,884
27:31.5,12,3324,8601,5931,872
36:30.4,13,3332,8599,5960,883
44:16.3,14,3333,8630,5951,884
52:02.3,15,3322,8600,5960,912
59:48.1,16,3322,8619,5969,902
07:33.8,17,3322,8649,5971,912
15:19.7,18,3313,8590,5961,903
23:05.5,19,3313,8619,5961,903
30:51.3,20,3304,8621,5921,862
39:50.4,1,3332,8619,5980,922
47:36.3,2,3332,8648,5970,912
55:22.1,3,3323,8620,5971,913
03:08.0,4,3333,8620,5970,913
10:53.9,5,3323,8630,5970,913
18:39.8,6,3323,8620,5980,913
26:25.6,7,3322,8589,5950,893
34:11.4,8,3322,8580,5950,892
41:57.5,9,3322,8629,5971,903
49:43.5,10,3322,8609,5961,903
57:29.0,11,3313,8600,5960,903
05:15.3,12,3313,8619,5960,902
13:01.1,13,3304,8582,5930,862
22:01.2,14,3333,8600,5970,923
29:47.0,15,3332,8638,5971,913
37:32.9,16,3332,8609,5980,913
45:18.6,17,3323,8601,5960,892
53:04.3,18,3323,8639,5971,913
00:50.2,19,3323,8600,5960,912
08:35.7,20,3323,8610,5951,892
16:21.5,1,3323,8611,5971,913
24:07.3,2,3323,8600,5961,903
31:53.3,3,3323,8599,5950,892
39:39.2,4,3312,8609,5951,893
47:25.1,5,3313,8601,5942,883
56:24.2,6,3332,8619,5960,902
04:10.1,7,3333,8629,5980,912
11:55.7,8,3332,8609,5981,913
19:41.1,9,3333,8580,5980,913
27:27.0,10,3332,8648,5961,903
35:12.7,11,3322,8639,5971,913
42:58.8,12,3323,8629,5970,912
50:44.8,13,3322,8620,5970,913
58:30.6,14,3322,8600,5961,903
06:16.1,15,3332,8580,5950,892
14:01.8,16,3313,8600,5951,893
21:47.7,17,3312,8609,5951,903
29:33.6,18,3313,8629,5961,892
37:19.2,19,3313,8601,5941,882
46:18.2,20,3333,8629,5970,923
54:04.2,1,3323,8610,5971,913
01:49.9,2,3322,8609,5980,912
09:41.6,3,3333,8619,5961,904
17:28.5,4,3324,8611,5970,903
