Date Time,No of cycles,Row0-Sensor1,Row0-Sensor2,Row1-Sensor1,Row1-Sensor2
48:31.4,166,3314,8582,5941,882
57:30.5,167,3335,8582,5981,923
05:16.3,168,3332,8629,5981,923
13:04.4,169,3332,8648,5962,894
20:50.1,170,3333,8639,5971,913
28:35.7,171,3323,8619,5970,913
36:21.4,172,3333,8640,5970,913
44:07.2,173,3332,8610,5970,912
51:53.1,174,3323,8620,5950,892
59:38.4,175,3322,8630,5970,912
07:24.7,176,3324,8591,5961,903
15:10.5,177,3323,8620,5970,902
22:56.0,178,3333,8619,5970,913
30:41.1,179,3322,8590,5951,883
38:26.6,180,3323,8619,5951,902
46:11.9,181,3323,8610,5951,903
53:57.6,182,3313,8620,5951,903
01:43.0,183,3313,8630,5961,903
09:28.6,184,3313,8629,5951,902
17:13.8,185,3313,8600,5961,903
24:59.4,186,3313,8621,5941,882
33:58.3,187,3332,8629,5970,923
41:43.7,188,3333,8650,5960,922
49:29.0,189,3323,8659,5980,913
57:14.4,190,3332,8609,5970,913
04:59.9,191,3322,8640,5971,913
12:45.7,192,3323,8629,5971,903
20:31.5,193,3323,8609,5960,903
28:17.6,194,3322,8639,5971,903
36:03.9,195,3323,8630,5960,902
43:50.1,196,3313,8570,5970,902
51:35.9,197,3323,8610,5960,903
59:21.9,198,3313,8609,5951,903
07:07.7,199,3313,8600,5951,894
14:53.5,200,3313,8621,5941,881
23:52.7,201,3332,8629,5980,922
31:38.3,202,3332,8630,5971,913
39:24.5,203,3332,8639,5961,903
47:11.1,204,3332,8638,5960,892
54:57.0,205,3322,8639,5951,893
02:43.1,206,3333,8630,5951,883
10:29.0,207,3322,8639,5951,873
18:14.5,208,3322,8629,5951,883
26:01.3,209,3322,8629,5951,883
33:47.1,210,3322,8589,5951,883
41:32.8,211,3323,8621,5941,882
50:31.3,212,3332,8659,5971,913
58:17.9,213,3332,8649,5970,903
06:03.9,214,3333,8630,5970,912
13:49.7,215,3323,8630,5961,913
21:35.3,216,3323,8620,5961,913
29:21.5,217,3313,8579,5951,902
37:07.4,218,3313,8610,5951,893
44:53.4,219,3314,8621,5941,883
53:52.1,220,3333,8620,5971,913
01:38.1,221,3333,8619,5961,894
09:23.4,222,3332,8599,5970,903
17:10.2,223,3333,8610,5960,892
24:56.1,224,3333,8610,5942,892
33:55.0,225,3332,8609,5980,912
41:40.6,226,3332,8639,5970,912
49:26.7,227,3323,8649,5970,902
57:12.4,228,3323,8620,5961,903
04:58.2,229,3313,8620,5961,902
12:43.8,230,3314,8621,5941,882
21:42.9,231,3332,8649,5980,913
29:29.2,232,3333,8649,5951,903
37:15.3,233,3333,8610,5961,893
45:01.1,234,3323,8619,5961,893
52:47.0,235,3332,8649,5961,893
00:32.8,236,3322,8609,5961,914
08:18.7,237,3322,8619,5971,903
16:04.6,238,3323,8610,5951,893
23:50.4,239,3323,8590,5951,894
31:36.0,240,3324,8621,5941,892
40:34.8,241,3332,8639,5981,923
48:20.6,242,3342,8600,5971,923
56:06.4,243,3333,8630,5971,913
03:52.5,244,3333,8600,5970,923
11:38.2,245,3332,8639,5970,912
19:24.2,246,3322,8649,5960,893
27:10.0,247,3323,8580,5960,893
34:55.7,248,3323,8600,5951,893
42:41.7,249,3332,8649,5971,913
50:27.2,250,3323,8650,5951,893
58:13.2,251,3322,8599,5961,903
05:59.2,252,3323,8639,5970,902
13:45.1,253,3323,8629,5951,883
21:31.2,254,3312,8619,5951,882
29:17.0,255,3312,8639,5961,893
37:02.9,256,3313,8600,5960,893
44:48.8,257,3314,8642,5941,882
53:47.6,258,3333,8659,5961,903
01:33.7,259,3332,8659,5970,892
09:19.4,260,3332,8599,5961,903
17:05.5,261,3332,8658,5961,903
24:51.6,262,3323,8649,5950,893
32:37.6,263,3333,8649,5950,893
40:24.0,264,3323,8649,5951,893
48:10.1,265,3322,8619,5951,893
55:56.0,266,3323,8621,5941,891
04:55.1,267,3332,8649,5961,912
12:41.0,268,3342,8658,5971,903
20:26.7,269,3333,8640,5961,894
28:12.4,270,3333,8660,5960,902
35:58.3,271,3333,8620,5980,913
43:44.0,272,3332,8629,5960,893
51:29.8,273,3333,8630,5970,902
59:15.6,274,3333,8650,5961,903
07:01.2,275,3333,8650,5961,893
14:47.0,276,3332,8599,5951,893
22:32.9,277,3333,8619,5960,903
30:19.6,278,3333,8659,5960,903
38:05.3,279,3332,8648,5951,893
45:51.0,280,3333,8620,5950,892
53:37.1,281,3324,8622,5941,892
02:36.3,282,3333,8640,5950,903
10:21.9,283,3332,8629,5960,893
18:07.7,284,3333,8670,5951,893
25:53.3,285,3333,8640,5961,902
33:39.3,286,3332,8629,5951,903
41:25.4,287,3333,8590,5960,902
49:11.3,288,3323,8640,5960,902
56:57.1,289,3332,8619,5961,893
04:43.1,290,3332,8659,5961,893
12:29.1,291,3322,8620,5951,893
20:14.7,292,3323,8649,5951,892
28:00.3,293,3323,8600,5950,892
35:46.4,294,3322,8638,5960,892
43:31.8,295,3322,8638,5951,893
51:17.6,296,3313,8620,5960,902
59:03.5,297,3313,8610,5940,881
08:02.3,298,3333,8630,5961,902
15:48.1,299,3333,8599,5970,913
23:33.8,300,3332,8630,5961,913
31:19.6,301,3333,8659,5960,893
39:05.4,302,3333,8639,5951,893
46:50.8,303,3323,8619,5950,893
54:36.9,304,3323,8620,5950,893
02:22.9,305,3322,8659,5951,883
10:08.7,306,3323,8630,5951,893
17:54.5,307,3323,8639,5951,893
25:40.2,308,3322,8659,5950,893
33:25.9,309,3324,8622,5940,881
42:24.9,310,3333,8669,5961,903
50:10.8,311,3332,8610,5970,912
57:56.8,312,3332,8619,5951,893
05:43.2,313,3322,8629,5951,894
13:29.1,314,3323,8639,5951,893
21:14.9,315,3323,8669,5951,893
29:00.6,316,3313,8649,5951,893
36:46.3,317,3312,8599,5951,884
44:32.8,318,3312,8599,5951,883
52:18.9,319,3314,8611,5940,881
01:18.0,320,3342,8639,5961,914
09:04.0,321,3342,8649,5970,902
16:49.8,322,3342,8669,5970,912
24:35.8,323,3333,8639,5961,903
32:21.9,324,3332,8629,5961,903
40:07.9,325,3333,8639,5960,902
47:54.7,326,3333,8610,5960,902
55:40.5,327,3323,8660,5951,893
03:26.3,328,3323,8659,5951,893
11:12.7,329,3322,8639,5951,883
18:59.1,330,3313,8639,5950,883
26:45.0,331,3314,8621,5941,882
35:43.9,332,3342,8639,5960,914
43:29.5,333,3332,8649,5961,913
51:15.4,334,3332,8669,5950,902
59:01.2,335,3332,8619,5961,894
06:46.8,336,3332,8649,5950,902
14:32.5,337,3323,8611,5961,893
22:18.2,338,3322,8599,5950,893
30:04.0,339,3323,8639,5951,884
37:50.9,340,3322,8619,5961,893
45:36.7,341,3322,8659,5950,893
53:22.5,342,3324,8661,5940,891
02:21.4,343,3332,8639,5960,902
10:07.0,344,3333,8630,5950,902
17:52.9,345,3333,8619,5961,903
25:38.7,346,3332,8639,5961,894
33:24.6,347,3323,8620,5951,893
41:10.4,348,3323,8650,5950,893
48:56.1,349,3322,8639,5951,893
56:42.1,350,3314,8661,5941,892
05:41.0,351,3333,8609,5970,902
13:26.7,352,3332,8639,5970,893
21:12.2,353,3332,8649,5970,893
28:58.0,354,3323,8590,5960,892
36:43.8,355,3323,8639,5951,893
44:30.2,356,3322,8648,5950,883
52:17.1,357,3314,8631,5941,892
01:16.3,358,3333,8619,5960,903
09:02.2,359,3333,8640,5960,902
16:48.2,360,3333,8649,5970,903
24:34.1,361,3333,8620,5960,903
32:20.0,362,3332,8629,5951,893
40:06.0,363,3322,8620,5951,893
47:52.1,364,3324,8632,5941,891
56:51.1,365,3333,8670,5961,903
04:37.2,366,3332,8609,5961,903
12:23.3,367,3332,8649,5960,893
20:09.5,368,3322,8579,5961,893
27:55.3,369,3322,8609,5950,893
35:41.5,370,3324,8640,5941,892
44:40.5,371,3332,8640,5960,903
52:26.3,372,3332,8630,5960,902
00:12.0,373,3333,8643,5961,903
07:58.0,374,3333,8620,5961,893
15:43.7,375,3333,8620,5951,902
23:29.6,376,3333,8659,5951,893
31:15.2,377,3323,8579,5951,893
39:01.3,378,3323,8611,5941,892
47:59.9,379,3333,8630,5971,904
55:45.8,380,3333,8640,5961,904
03:31.4,381,3332,8649,5951,903
11:17.1,382,3323,8639,5960,893
19:03.0,383,3323,8630,5951,892
26:48.8,384,3322,8668,5950,892
34:34.9,385,3323,8650,5950,892
42:20.6,386,3314,8622,5941,891
51:19.5,387,3332,8639,5961,904
59:05.6,388,3333,8669,5960,903
06:51.4,389,3332,8610,5961,893
14:37.0,390,3322,8639,5961,892
22:23.2,391,3323,8629,5950,892
30:08.9,392,3323,8649,5950,882
37:55.1,393,3314,8621,5941,892
46:54.6,394,3343,8649,5971,903
54:40.3,395,3333,8669,5970,903
02:25.9,396,3333,8660,5960,903
10:11.7,397,3333,8630,5961,903
17:57.9,398,3323,8660,5951,893
25:43.6,399,3323,8610,5960,892
33:29.5,400,3333,8649,5960,893
41:15.3,401,3323,8639,5960,892
49:01.2,402,3323,8649,5950,893
56:47.2,403,3322,8629,5961,893
04:33.1,404,3322,8629,5961,904
12:18.5,405,3323,8620,5950,883
20:04.6,406,3323,8639,5960,903
27:50.4,407,3314,8612,5939,880
36:49.2,408,3333,8659,5971,903
44:35.2,409,3333,8649,5960,902
52:21.0,410,3342,8657,5961,903
00:06.8,411,3332,8638,5970,902
11:34.6,412,3341,8656,5967,901
19:19.7,413,3342,8638,5961,905
27:04.7,414,3332,8657,5970,902
34:49.8,415,3335,8677,5960,903
42:34.8,416,3332,8665,5971,907
50:20.0,417,3338,8628,5963,897
16:59.8,418,3353,8697,5980,932
07:16.8,419,3336,8644,5968,901
15:06.7,420,3332,8676,5971,916
22:57.0,421,3332,8676,5981,915
18:31.5,422,3330,8645,5972,915
25:59.2,423,3333,8619,5978,919
34:23.2,424,3333,8619,5971,913
55:05.9,425,3329,8657,5960,903
12:42.2,426,3331,8658,5972,915
40:44.2,427,3334,8656,5971,914
48:34.9,428,3330,8678,5961,904
49:15.4,429,3330,8638,5971,914
57:06.1,430,3330,8648,5971,913
04:56.7,431,3320,8649,5951,884
12:48.7,432,3320,8629,5951,904
23:05.5,433,3340,8648,5970,917
30:57.0,434,3329,8658,5971,914
38:47.6,435,3330,8648,5962,906
46:37.9,436,3319,8688,5951,904
54:28.6,437,3320,8659,5952,905
02:19.5,438,3319,8628,5951,904
10:10.3,439,3320,8627,5959,902
18:00.9,440,3310,8659,5959,893
25:51.9,441,3310,8668,5961,894
33:42.8,442,3310,8609,5940,891
42:47.0,443,3330,8678,5961,914
50:37.6,444,3330,8659,5961,914
58:28.1,445,3340,8668,5971,914
06:18.6,446,3340,8638,5961,914
14:09.7,447,3340,8668,5971,913
22:00.4,448,3329,8658,5971,914
29:50.6,449,3330,8639,5971,904
37:41.3,450,3320,8668,5961,903
45:31.4,451,3320,8658,5951,903
53:21.9,452,3320,8618,5951,894
01:12.3,453,3321,8659,5942,904
10:16.4,454,3340,8657,5971,913
18:07.0,455,3330,8668,5971,904
